block,question,difficulty,r_pb,p_value
Q3,Q3.1,0.9523809523809523,-0.15085060660073935,0.5139456733772988
Q3,Q3.2,0.9444444444444444,0.2531646556864424,0.31076739154232
Q3,Q3.3,0.5555555555555556,-0.15023103370473273,0.5518358531013112
Q3,Q3.4,0.7777777777777778,0.057367334441412884,0.821122683446295
Q3,Q3.5,1.0,,
Q3,Q3.6,0.8571428571428571,-0.12784988278340004,0.5807556596301678
Q3,Q3.7,0.8421052631578947,-0.01760608655025269,0.9429694103440734
Q4,Q4.1,1.0,,
Q4,Q4.2,0.9411764705882353,-0.05223516976555701,0.8421835335113659
Q4,Q4.3,0.9473684210526315,0.35401416674422465,0.1370142858091814
Q4,Q4.4,0.6111111111111112,0.4092769863846302,0.09168677233954023
Q4,Q4.5,0.95,-0.06617317541847516,0.7816388931465856
Q4,Q4.6,0.8235294117647058,0.49731757721366676,0.04224017699673732
Q4,Q4.7,0.5555555555555556,0.16011119017838507,0.5256618522868799
Q5,Q5.1,0.8823529411764706,-0.1405998254330662,0.5904129370419483
Q5,Q5.2,0.8333333333333334,0.6498440561375454,0.003509429744361205
Q5,Q5.3,0.9444444444444444,0.06811078920850974,0.7882871010727325
Q5,Q5.4,0.9444444444444444,0.35556531056757584,0.1476003596766719
Q5,Q5.5,0.7222222222222222,0.16641005886756866,0.5092806843971532
Q5,Q5.6,1.0,,
Q5,Q5.7,0.6470588235294118,0.18164624969290202,0.48534072434061803
Q6,Q6.1,1.0,,
Q6,Q6.2,0.6470588235294118,0.35299103396150944,0.16459416550231032
Q6,Q6.3,1.0,,
Q6,Q6.4,0.8888888888888888,-0.1417366773784602,0.5747892696499888
Q6,Q6.5,0.8421052631578947,0.6026423650012547,0.006316478404117538
Q6,Q6.6,0.9444444444444444,-0.06507913734559685,0.7975209633548834
Q6,Q6.7,0.4117647058823529,0.12452441171884349,0.6339458712925251
Q7,Q7.1,0.8823529411764706,0.8074061938731718,8.902273393876652e-05
Q7,Q7.2,0.5625,0.5050762722761053,0.045984138361830684
Q7,Q7.3,0.7647058823529411,0.43625273249928004,0.08000565174106344
Q7,Q7.4,1.0,,
Q7,Q7.5,1.0,,
Q7,Q7.6,0.6842105263157895,0.18697855772236982,0.4433863203007856
Q7,Q7.7,0.8421052631578947,-0.09885336094784053,0.687222174156999
Q8,Q8.1,0.9411764705882353,0.5216463160750379,0.03174359324692688
Q8,Q8.2,0.7777777777777778,0.3953448477029147,0.10440864737347694
Q8,Q8.3,1.0,,
Q8,Q8.4,0.9444444444444444,-0.009670528665021019,0.9696209594781813
Q8,Q8.5,1.0,,
Q8,Q8.6,1.0,,
Q8,Q8.7,1.0,,
Q9,Q9.1,0.9411764705882353,-0.02859348193736337,0.9132537203919013
Q9,Q9.2,0.6111111111111112,-0.012029218368739488,0.9622158734849038
Q9,Q9.3,0.8823529411764706,0.24423169902168212,0.3448093999405331
Q9,Q9.4,0.8235294117647058,-0.45711975371060254,0.06507138678745247
Q9,Q9.5,0.7647058823529411,0.2971876727263646,0.24669586036319185
Q9,Q9.6,0.8823529411764706,-0.13965944975103514,0.5929252336255495
Q9,Q9.7,0.9411764705882353,0.709073702318972,0.0014369109383610902
Q10,Q10.1,0.8666666666666667,0.4540707765443265,0.08908950909211871
Q10,Q10.2,0.8823529411764706,0.2988071523335984,0.24400674259097707
Q10,Q10.3,0.7058823529411765,0.11916871834484356,0.648714423045745
Q10,Q10.4,1.0,,
Q10,Q10.5,0.7777777777777778,0.3827659079120556,0.11693908783119061
Q10,Q10.6,1.0,,
Q10,Q10.7,0.6111111111111112,0.32895409629155825,0.18256592418526119
