block,question,p,r_pb,block_num,rank
Q3,Q3.4,0.7777777777777778,0.057367334441412884,3,1
Q3,Q3.7,0.8421052631578947,-0.01760608655025269,3,2
Q4,Q4.6,0.8235294117647058,0.49731757721366676,4,1
Q4,Q4.4,0.6111111111111112,0.4092769863846302,4,2
Q5,Q5.2,0.8333333333333334,0.6498440561375454,5,1
Q5,Q5.7,0.6470588235294118,0.18164624969290202,5,2
Q6,Q6.5,0.8421052631578947,0.6026423650012547,6,1
Q6,Q6.2,0.6470588235294118,0.35299103396150944,6,2
Q7,Q7.2,0.5625,0.5050762722761053,7,1
Q7,Q7.3,0.7647058823529411,0.43625273249928004,7,2
Q8,Q8.2,0.7777777777777778,0.3953448477029147,8,1
Q9,Q9.5,0.7647058823529411,0.2971876727263646,9,1
Q9,Q9.2,0.6111111111111112,-0.012029218368739488,9,2
Q10,Q10.5,0.7777777777777778,0.3827659079120556,10,1
Q10,Q10.7,0.6111111111111112,0.32895409629155825,10,2
