StartDate;EndDate;Status;Progress;Duration (in seconds);Finished;RecordedDate;Q1.1;Q2.1;Q2.2;Q2.3;Q3.1;Q3.2;Q3.3;Q3.4;Q3.5;Q3.6;Q3.7;Q4.1;Q4.2;Q4.3;Q4.4;Q4.5;Q4.6;Q4.7;Q5.1;Q5.2;Q5.3;Q5.4;Q5.5;Q5.6;Q5.7;Q6.1;Q6.2;Q6.3;Q6.4;Q6.5;Q6.6;Q6.7;Q7.1;Q7.2;Q7.3;Q7.4;Q7.5;Q7.6;Q7.7;Q8.1;Q8.2;Q8.3;Q8.4;Q8.5;Q8.6;Q8.7;Q9.1;Q9.2;Q9.3;Q9.4;Q9.5;Q9.6;Q9.7;Q10.1;Q10.2;Q10.3;Q10.4;Q10.5;Q10.6;Q10.7;Q11.1;Q_AmbiguousTextPresent;Q_AmbiguousTextQuestions;Q_StraightliningCount;Q_StraightliningPercentage;Q_StraightliningQuestions;Q_UnansweredPercentage;Q_UnansweredQuestions
2025-05-02 22:04:26;2025-05-02 22:20:18;0;100;951;1;2025-05-02 22:20:19;1;4;5;6;3;;;;;;3;;;;;1;;3;;1;2;;;;;;1;;;3;;;;;;;;2;2;;;;4;2;;;3;3;;;;;;;;;1;2;;;15;0;;0;0;;0;
2025-05-02 22:09:09;2025-05-02 22:21:11;0;100;721;1;2025-05-02 22:21:12;1;4;5;8;;3;;;;3;;;2;1;;;;;4;;;1;;;;;;;1;3;;;;;;;;1;1;;1;1;;;;;;;;;3;;3;;;3;;;;4;16;0;;0;0;;0;
2025-05-02 22:42:05;2025-05-02 22:52:41;0;100;635;1;2025-05-02 22:52:42;1;4;6;8;3;;;;3;;;;;;4;1;;;;1;2;;;;;;;;;;2;1;;;;;3;;1;1;;;;;;2;;;2;;;2;;;;3;1;;;;15;0;;0;0;;0;
2025-05-04 21:15:18;2025-05-04 21:23:12;0;100;474;1;2025-05-04 21:23:13;1;4;5;10;1;;2;;;;;;2;;;;;3;;;;;2;1;;2;;2;;;;;;3;;1;;;;;;1;;2;;;;;;2;1;;;;;;;4;;4;15;0;;0;0;;0;
2025-05-05 00:19:08;2025-05-05 00:56:42;0;100;2254;1;2025-05-05 00:56:43;1;4;4;10;;3;;;;;3;2;;;;;;3;;1;;;;;1;;2;;;;;1;3;;1;;;;;;;;4;;4;;3;;;;;;3;;1;;;;2;;13;0;;0;0;;0;
2025-05-05 11:47:13;2025-05-05 12:00:13;0;100;779;1;2025-05-05 12:00:13;1;5;8;8;;;;;3;3;;;;1;;1;;;3;;;1;;;;2;;;1;;;;;;;1;;1;;;1;;;;;2;;;2;3;;;;;1;3;;;;;12;0;;0;0;;0;
2025-05-06 11:27:47;2025-05-06 11:39:55;0;100;727;1;2025-05-06 11:39:55;1;3;1;7;;3;;1;;;;;;;3;;3;;;;2;;;;2;;;;;4;2;;;;2;;;2;;1;3;;;;;;;3;;;;2;;;;;1;;2;;10;0;;0;0;;0;
2025-05-06 13:40:46;2025-05-06 13:50:31;0;100;584;1;2025-05-06 13:50:31;1;3;2;7;3;;;2;;;;;;;;1;2;;;;;;2;1;;;;2;;;2;;3;;;;;;1;;;1;4;;;;;;3;2;;;;;;;;3;;1;12;0;;0;0;;0;
2025-05-06 13:49:46;2025-05-06 14:06:52;0;100;1026;1;2025-05-06 14:06:53;1;4;5;8;;3;;2;;;;;2;;1;;;;;;;1;;;1;2;;;1;;;;;;;;;2;1;;1;;4;;;;;;2;;;2;;;;3;1;;;;16;0;;0;0;;0;
2025-05-06 13:49:50;2025-05-06 14:09:52;0;100;1202;1;2025-05-06 14:09:53;1;4;3;10;;;;;;4;3;2;;;;1;;;;;2;;;1;;2;;;;4;;;3;;;;3;;;1;;;;;4;;3;;;;;;3;;;;;;2;4;4;0;;0;0;;0;
2025-05-06 13:42:41;2025-05-06 14:11:54;0;100;1753;1;2025-05-06 14:11:55;1;5;15;30;;;;;3;;3;;2;;1;;;;3;;;;3;;;;;;1;;;1;;4;;;3;;;;;;;2;4;;;3;;;2;;;1;1;;;;;;15;0;;0;0;;0;
2025-05-06 13:56:26;2025-05-06 14:12:33;0;100;966;1;2025-05-06 14:12:33;1;5;5;20;3;;3;;;;;;;;;;1;3;;1;;;2;;;;;;;3;;2;;;1;;;;1;;;1;;;;2;;3;;2;;;;;;;;4;;4;15;0;;0;0;;0;
2025-05-06 14:10:07;2025-05-06 14:19:38;0;100;570;1;2025-05-06 14:19:39;1;5;5;7;;;;2;3;;;2;;1;;;;;;1;2;;;;;;2;2;;;;;;;1;;3;;;;;;;2;4;;;;;;1;;3;;;;;4;2;;12;0;;0;0;;0;
2025-05-06 13:46:34;2025-05-06 14:49:03;0;100;3749;1;2025-05-06 14:49:03;1;3;1;3;;;2;;;4;;;;1;;;;3;;;;1;;;1;;1;2;;;;;;4;;1;;;;1;;1;;;;;2;;;;;2;;;;3;1;;;;10;0;;0;0;;0;
2025-05-06 13:48:53;2025-05-06 15:55:25;0;100;7591;1;2025-05-06 15:55:25;1;4;6;7;;3;3;;;;;;;;;1;1;;3;;;;;1;;;;;1;;2;;3;;;;;1;;;1;;4;;;;;3;;;;;3;1;1;;;;;;15;0;;0;0;;0;
2025-05-06 16:09:38;2025-05-06 16:59:55;0;100;3016;1;2025-05-06 16:59:56;1;5;5;20;;;;;3;;3;;2;;;;;3;3;;;;2;;;;;;;;2;2;;4;;1;;;;;;;;2;;2;;;;2;3;;;;;3;;;;4;16;0;;0;0;;0;
2025-05-06 17:59:04;2025-05-06 18:12:34;0;100;810;1;2025-05-06 18:12:35;1;4;4;10;3;;;;;3;;2;;1;;;;;;;;1;;;1;;2;;;3;;;;;1;;;;2;1;;;;;4;;;;2;;;2;;1;;;;;2;;15;0;;0;0;;0;
2025-05-06 18:11:25;2025-05-06 18:23:36;0;100;730;1;2025-05-06 18:23:36;1;3;1;5;3;;;2;;;;;2;;1;;;;;1;;;;1;;2;;2;;;;;;;;1;;1;;;;1;4;;;;3;;;;;;3;;;;1;4;;;14;0;;0;0;;0;
2025-05-06 19:43:01;2025-05-06 19:51:04;0;100;482;1;2025-05-06 19:51:05;1;4;7;25;;;2;;;;3;;;1;;1;;;;1;2;;;;;;;;4;3;;;;4;;;3;;;;1;;;2;;;;;;;3;2;;;1;;;4;;;10;0;;0;0;;0;
2025-05-06 19:47:02;2025-05-06 19:57:37;0;100;635;1;2025-05-06 19:57:38;1;5;1;6;;;;3;3;;;2;2;;;;;;3;;;;3;;;;;2;;;2;;3;;;;3;;;;;;;;4;2;;1;3;;;;;1;;3;;;;;14;0;;0;0;;0;
2025-05-06 20:37:29;2025-05-06 21:04:26;0;100;1616;1;2025-05-06 21:04:26;1;5;5;7;3;;2;;;;;;;1;;;1;;;1;2;;;;;;;;;3;2;;3;3;;;;;;;1;;;;;2;3;;;2;;;;;;;1;;;3;15;0;;0;0;;0;
2025-05-06 19:40:44;2025-05-06 21:05:20;0;100;5076;1;2025-05-06 21:05:21;1;4;5;6;;3;;;;3;;2;;;;;;2;3;;;1;;;;;2;;1;;;;;;1;;;1;;1;;;4;;;;;;2;;;3;;;1;;;;2;;9;0;;0;0;;0;
2025-05-06 23:55:03;2025-05-07 00:09:33;0;100;870;1;2025-05-07 00:09:34;1;5;2;5;;;;;;3;3;;;;;;1;3;;;;;2;;1;2;;2;;;;;;;1;;;1;;;;;;;2;2;3;;;;2;;;;;;;;2;2;14;0;;0;0;;0;
2025-05-06 13:40:51;2025-05-07 09:26:11;0;100;71119;1;2025-05-07 09:26:11;1;4;15;18;3;;;2;;;;2;;;;1;;;;;2;;;1;;;2;;;3;;;3;4;;;;;;1;;1;;;;;;;2;;;;3;1;;3;;;;;12;0;;0;0;;0;
2025-05-06 16:33:38;2025-05-07 09:58:13;0;100;62675;1;2025-05-07 09:58:14;1;4;20;38;;;;;3;;3;;;;1;;1;;;;2;;;1;;;2;;;;;2;;;;;3;;1;;1;;4;;;;;3;;2;;;;;1;;1;;;;14;0;;0;0;;0;
2025-05-02 14:26:17;2025-05-07 11:04:11;0;100;419874;1;2025-05-07 11:04:13;1;4;4;10;;;2;2;;;;;;;1;;;3;;;;;2;;2;;;2;;;2;;;;;1;;1;;;1;;;2;;;;;;4;;;3;;;;;4;2;;13;0;;0;0;;0;
2025-05-07 12:41:28;2025-05-07 13:01:12;0;100;1183;1;2025-05-07 13:01:12;1;3;5;30;;;3;;;3;;;2;3;;;;;;2;;3;;;;;;;1;;;4;4;;;1;;;;2;;;;;;2;;;;;4;2;;;;;1;3;;;7;0;;0;0;;0;
2025-05-07 13:26:47;2025-05-07 13:42:48;0;100;961;1;2025-05-07 13:42:49;1;4;5;7;;;;;3;;3;;2;;4;;;;;;;;;1;1;2;;;;;;2;;;;;3;;1;;;1;;2;;;3;;;2;;;;;1;3;;;;;14;0;;0;0;;0;
2025-05-07 13:56:35;2025-05-07 14:03:13;0;100;398;1;2025-05-07 14:03:14;1;5;4;4;;;;3;;;3;;;1;;;1;;;;2;;2;;;;2;;;3;;;;;;1;;1;;1;1;;;;;;;;2;;3;;;;;;;4;2;;14;0;;0;0;;0;
2025-05-07 13:22:48;2025-05-07 14:15:23;0;100;3155;1;2025-05-07 14:15:24;1;5;10;10;3;3;;;;;;2;;;;1;;;3;;;;;1;;2;;;;;2;;;4;1;;;;;;;;4;;2;;3;1;;;;;;1;;;;;;4;12;0;;0;0;;0;
2025-05-07 14:17:32;2025-05-07 17:42:19;0;100;12286;1;2025-05-07 17:42:20;1;4;5;5;3;;1;;;;;;;;3;;;2;3;;;1;;;;;;2;1;;;;;3;;;;;1;;;1;;2;;;;1;;;;;2;;1;;;;;2;16;0;;0;0;;0;
2025-05-07 18:16:46;2025-05-07 18:29:22;0;100;756;1;2025-05-07 18:29:23;1;5;5;10;;3;;;3;;;;2;;;;1;;;1;2;;;;;;;2;;;;2;3;;;;3;;;;;;4;;2;;;;;;3;2;;;;4;1;;;;12;0;;0;0;;0;
2025-05-08 09:08:53;2025-05-08 09:20:23;0;100;689;1;2025-05-08 09:20:23;1;4;5;7;3;;1;;;;;2;;;;;;3;;;;1;;;2;;2;;3;;;;;3;1;;;;;;;;;2;;2;;;2;;;2;;4;;;;;2;;10;0;;0;0;;0;
